EXPERIMENT,BCAST_TYPE,NPROC,PACKET_SIZE,N_PACKETS,N_BOUNCES,TYPE,NODE,PROCESS,SRC,DST,TAG,COM_TIME,RUNNING_TIME
8, 0, 4, 1,,,S, lab004-074, 0,,,, 0.0003778934,,
8, 0, 4, 1,,,R, lab004-074, 3,,,, 0.0000221729,,
8, 0, 4, 1,,,R, lab004-074, 1,,,, 0.0093500614,,
8, 0, 4, 1,,,R, lab004-074, 2,,,, 0.0048089027,,
9, 0, 4, 1,,,S, lab004-074, 0,,,, 0.0003969669,,
9, 0, 4, 1,,,R, lab004-074, 1,,,, 0.0093648434,,
9, 0, 4, 1,,,R, lab004-074, 3,,,, 0.0102820396,,
9, 0, 4, 1,,,R, lab004-074, 2,,,, 0.0096230507,,
10, 0, 4, 1,,,S, lab004-074, 0,,,, 0.0004038811,,
10, 0, 4, 1,,,R, lab004-074, 1,,,, 0.0094158649,,
10, 0, 4, 1,,,R, lab004-074, 2,,,, 0.0097310543,,
10, 0, 4, 1,,,R, lab004-074, 3,,,, 0.0095648766,,
